"","x"
"1",0.000279786250134682
"2",0.0910734621227242
"3",1.37045394111655e-06
"4",7.0942070086811e-07
"5",5.71489513720187e-07
"6",0.0244360004054049
"7",0.0553264986846042
"8",0.000640338658667729
"9",8.22553310319515e-09
"10",2.5779272517976e-06
"11",0.000199025509821904
"12",0.00228455143999097
"13",2.94303152814198e-07
"14",8.12010503206324e-05
"15",4.77398948862436e-06
"16",2.69446371125344e-05
"17",0.000162559738543145
"18",1.71737737259313e-07
"19",0.000130437978464053
"20",8.8862156601471e-06
"21",3.18088813832736e-05
"22",0.0367226632938601
"23",2.64275794089085e-06
"24",9.73994233525235e-05
"25",4.93609484207384e-08
"26",0.0221937119647053
"27",1.16702068350021e-07
"28",3.96331700028661e-08
"29",8.5267623548387e-07
"30",0.000414398919475526
"31",2.76641211949374e-05
"32",0.000127318992821804
"33",0.136185882370076
"34",0.00071568040321086
"35",3.30526429640433e-05
"36",8.18217463529726e-05
"37",9.54024256392638e-07
"38",0.000820486919496176
"39",3.45995234669346e-06
"40",8.68596923331255e-05
"41",3.70350912990363e-06
"42",1.01805494148377e-06
"43",8.37191052666313e-06
"44",0.062316969961504
"45",1.71917415638474e-06
"46",5.05387714295647e-09
"47",1.85065350999403e-05
"48",3.90700011792938e-07
"49",0.00142505509921752
"50",1.82089047965666e-09
"51",1.82270853086792e-07
"52",0.120432376359088
"53",2.72390445716147e-05
"54",4.69934573925427e-07
"55",3.43006913789273e-05
"56",0.00161007438672087
"57",1.44877992933773e-09
"58",7.11622687974536e-05
"59",3.66956019511959e-06
"60",1.97912591045534e-05
"61",1.85136629733039e-08
"62",4.95034281592009e-09
"63",0.000278093491306125
"64",0.000715591399569035
"65",0.000202507151452514
"66",9.30688349089155e-08
"67",0.0102325305480705
"68",2.55144804510947e-05
"69",2.19900336564837e-08
"70",4.48021638583669e-08
"71",2.19018263441554e-06
"72",1.84551065482282e-05
"73",1.25198430553254e-06
"74",2.10163357237716e-06
"75",0.00106216782771855
"76",0.000551576368730158
"77",2.51139489890612e-06
